ABC19980108.1830.0711_20|Nobody believe this any more .
VOA19980303.1600.2745_7|Mr. Potach says the growth is surprising since membership in hate groups usually declines during periods of economic prosperity .
VOA19980303.1600.2745_4|The Southern Poverty Law Center , a civil rights monitoring group based in Montgomery , Alabama , has long monitored such groups as the Ku Klux Klan .
VOA19980303.1600.2745_5|More recently it has followed the growth of the militia movement and church groups that preach a message of white supremacy and anti-semitism .
VOA19980303.1600.2745_8|We in fact have seen hate group numbers dropping through the nineties , uh but this year they jumped up uh twenty percent , quite a dramatic rise .
VOA19980303.1600.2745_9|Mark Potach says over four hundred hate groups have been identified and many are becoming increasingly successful at recruiting younger members through the use of Internet web pages and the promotion of racist rock music .
wsj_0950_18|In the first nine months , GMAC 's earnings fell 8% to $859.5 million from $930.2 million .
wsj_0950_19|At EDS , third-quarter profit jumped 16% to a record $110.9 million , or 93 cents a share , from $95.9 million , or 79 cents a share .
wsj_0950_10|In addition , GM 's North American vehicle production fell 8.4% from a year ago , which hurt Delco Electronic 's earnings , a company spokesman said .
wsj_0950_11|That decline was reflected in revenue for the GM Hughes unit , which edged down to $2.58 billion from $2.63 billion .
wsj_0950_12|In the nine months , GM Hughes net fell 6.6% to $486.6 million , or $1.48 a share , from $521 million , or $1.58 a share .
wsj_0950_13|Revenue rose 3.5% to $8.47 billion from $8.18 billion .
wsj_0950_14|At GMAC , net dropped 3.1% to $234.5 million from $241.9 million .
wsj_0950_15|The finance unit attributed the decline to higher borrowing costs compared with a year earlier .
wsj_0950_16|GMAC said its automotive financing and leasing business rose 35% in the U.S. , largely because of dealer and customer incentives used to boost sales .
wsj_0950_17|GMAC profits are combined with earnings from the rest of GM 's operations and attributed to the company 's traditional common stock .
ABC19980304.1830.1636_0|Finally today , we learned that the space agency has finally taken a giant leap forward .
ABC19980304.1830.1636_1|Air Force Lieutenant Colonel Eileen Collins will be named commander of the Space Shuttle Columbia for a mission in December .
ABC19980304.1830.1636_2|Colonel Collins has been the co-pilot before , but this time she 's the boss .
ABC19980304.1830.1636_3|Here 's ABC 's Ned Potter .
ABC19980304.1830.1636_4|Even two hundred miles up in space , there has been a glass ceiling .
ABC19980304.1830.1636_5|It wasn 't until twenty years after the first astronauts were chosen that NASA finally included six women , and they were all scientists , not pilots .
ABC19980304.1830.1636_6|No woman has actually been in charge of a mission until now .
ABC19980304.1830.1636_7|Just the fact that we ' re doing the job that we ' re doing makes us role models .
ABC19980304.1830.1636_8|That was Eileen Collins , after she flew as the first ever co-pilot .
ABC19980304.1830.1636_9|Being commander is different .
wsj_0533_13|The university had sought an injunction blocking Connaught 's board from recommending or supporting an offer for the company by Merieux .
wsj_0533_12|Lawyers for the two sides weren 't immediately available for comment .
wsj_0533_11|In a statement prepared by lawyers for the university and Connaught , the parties said they agreed that as a result of reaching a C415 million research accord , ' It is unnecessary that there be a judgment on the merits { of the case } at this time . '
wsj_0533_10|Separately , the Ontario Supreme Court said it will postpone indefinitely a ruling on the lawsuit launched by the University of Toronto against Connaught in connection with the Merieux bid .
wsj_0667_3|In addition , the effective interest rate on the $410 million of total remaining bank debt after the restructuring is 10.66% .
wsj_0667_2|The write-off will be reported as an extraordinary item in the company 's 1989 operating results .
wsj_0667_1|The restaurant operator cited transaction costs from its 1988 recapitalization as a result of a $160 million restructuring of its bank debt .
wsj_0667_0|Shoney 's Inc. said it will report a write-off of $2.5 million , or seven cents a share , for its fourth quarter ended yesterday .
wsj_0150_2|The financial-services company will pay 0.82 share for each Williams share .
wsj_0150_3|Williams shares , which were to be delisted from the New York Stock Exchange after the close of composite trading yesterday , closed at $23.25 , off 12.5 cents .
wsj_0150_0|A.L. Williams Corp. was merged into Primerica Corp. , New York , after a special meeting of Williams shareholders cleared the transaction , the companies said .
wsj_0150_1|Primerica , which had owned nearly 70% of Williams , will pay about 16.7 million shares , currently valued at almost $472 million , for the rest of Williams .
wsj_0150_6|Its subsidiaries ' services are marketed by closely held A.L. Williams amp Associates .
wsj_0150_7|Primerica , as expected , also acquired certain assets of the agency and assumed certain of its liabilities .
wsj_0150_4|Primerica closed at $28.25 , down 50 cents .
wsj_0150_5|Williams , Duluth , Ga. , is an insurance and financial-services holding company .
wsj_1073_1|The unit makes intravenous pumps used by hospitals and had more than $110 million in sales last year , according to Advanced Medical .
wsj_1073_0|Advanced Medical Technologies Inc. said it purchased 93% of a unit of Henley Group Inc. Advanced Medical paid $106 million in cash for its share in a unit of Henley 's Fisher Scientific subsidiary .
wsj_0150_8|Terms were n 't disclosed .
wsj_0661_9|Dataproducts has since started a restructuring , and has said it is not for sale .
wsj_0661_8|Earlier this year , DPC Acquisition made a $15-a-share offer for Dataproducts , which the Dataproducts board said it rejected because the $283.7 million offer was not fully financed .
wsj_0927_28|James E. Bacon , 58 , executive vice president , who has directed the funds-service group , will retire .
wsj_0152_4|Dow Jones publishes The Wall Street Journal , Barron 's magazine , and community newspapers and operates financial news services and computer data bases .
wsj_0661_4|DPC Acquisition said it had received the reasonable assurance of Chase Manhattan Bank N.A. that the financing can be obtained .
wsj_0661_7|Dataproducts officials declined to comment , and said they had not yet seen a suit filed in federal court by DPC Acquisition that seeks to nullify a standstill agreement between DPC Acquisition and Dataproducts .
wsj_0661_6|DPC Acquisition added that it has not begun discussions with financing sources , and said it expected to repay the amounts borrowed through proceeds of the liquidation .
wsj_0152_0|Dow Jones amp Co. said it extended its $18-a-share offer for Telerate Inc. common stock until 5 p.m. EST Nov. 9 . The offer , valued at about $576 million for the 33% of Telerate that Dow Jones does n 't already own , had been set to expire Nov. 6 . Dow Jones , which owns about 64 million of Telerate 's 95 million common shares outstanding , said that about 24,000 shares have been tendered under its offer .
wsj_0152_1|Telerate 's two independent directors have rejected the offer as inadequate .
wsj_0927_21|U.S. Trust also created a four-member office of the chairman , effective Feb. 1 . It will include Messrs .
wsj_0152_3|Telerate provides an electronic financial information network .
AP900815-0044_46|U.S. allies and other U.N. members have objected that the Security Council embargo resolution did not specifically authorize such a naval operation .
wsj_0706_4|As of Sept. 30 , the bank had assets of $511 million and deposits of $469 million , Security Pacific said .
APW19980213.1380_2|Hernandez was kidnapped from his small , neighborhood store in the town of Trujillo Alto at 10 p.m. Wednesday , police said .
APW19980213.1380_3|His kidnappers demanded a ransom of dlrs 1 million , but negotiations broke off at noon Thursday .
APW19980213.1380_0|CAGUAS , Puerto Rico ( AP ) _ Kidnappers kept their promise to kill a store owner they took hostage and police found the man 's dismembered and decapitated body Friday wrapped in plastic garbage bags .
APW19980213.1380_1|Police confirmed Friday that the body found along a highway in this municipality 15 miles south of San Juan belonged to Jorge Hernandez , 49 .
APW19980213.1380_6|A passerby called police to report the body alongside the road .
APW19980213.1380_7|Puerto Rico Police Superintendent Pedro Toledo urged people who might be targeted by kidnappers to be alert .
APW19980213.1380_4|Police gave no details about the negotiations with the kidnappers for the return of Hernandez .
APW19980213.1380_5|The store owner 's body was found with the arms and head cut off and the parts stuffed in separate garbage bags .
AP900815-0044_42|On Tuesday , the United States and Soviet Union conferred in Washington on putting an anti-Iraq naval blockade under a United Nations umbrella .
APW19980213.1380_8|` ` There has been an increase in Puerto Rico in this kind of thing and some of these bands of kidnappers are made up of foreigners , ' ' Toledo said .
APW19980213.1380_9|While some Latin American countries such as Mexico and Colombia have suffered from a rash of kidnappings in recent years , the crime has not been common in this U.S. commonwealth .
AP900815-0044_43|The United States has provided most of the naval vessels so far to block Iraqi trade , with Britain , West Germany and Australia among the other nations lending support at sea .
AP900815-0044_40|Bush , however , says he sees no short-term hope for a diplomatic solution to the gulf crisis _ at least until economic sanctions force Saddam to withdraw his army .
AP900815-0044_41|Bush held out the prospect of more aid to Jordan if it cooperates with the trade embargo .
wsj_0541_4|If all the debt is converted to common , Automatic Data will issue about 3.6 million shares ; last Monday , the company had nearly 73 million shares outstanding .
wsj_0541_5|Automatic Data is redeeming the bonds because the after-tax cost of the interest on the bonds is higher than the dividend yield on the common , a spokesman said .
wsj_0541_0|Automatic Data Processing Inc. plans to redeem on Nov. 16 its $150 million of 6.5% convertible subordinated debentures due March 1 , 2011 .
wsj_0541_1|The computing-services concern will pay $1,059.04 for each $1,000 face amount of debt .
wsj_0541_2|The conversion price for the debentures is $41.725 a share .
wsj_0541_3|In New York Stock Exchange composite trading Friday , Automatic Data closed at $46.50 a share , down $2.25 .
wsj_1011_11|America West would n 't identify the entity , but said the payment was for the foreign company 's use of certain tax benefits in connection with America West plane purchases .
wsj_1011_10|The latest results include a $2.6 million one-time payment from a ' foreign entity . '
wsj_1011_13|Revenue rose 21% to $243.4 million from $201.2 million .
wsj_1011_12|Year-earlier results included an extraordinary gain of $1.6 million from a buy-back of convertible subordinated debentures .
wsj_1011_15|Revenue rose 27% to $715.1 million from $563.8 million .
wsj_1011_14|For the nine months , America West posted earnings of $18.9 million , or 97 cents a share , compared with a loss of $9.7 million , or 74 cents a share , a year earlier .
APW19980322.0749_24|( sp/eml )
APW19980322.0749_22|An elderly Catholic man was hospitalized from cuts after a Protestant gasoline bomb landed in his back yard .
APW19980322.0749_23|Police arrested six Protestants on suspicion of rioting .
APW19980322.0749_20|Police said an unmarked police car was hit with gasoline bombs from the Protestant side .
APW19980322.0749_21|Riot police responded with a volley of plastic bullets that scattered a 50-strong mob .
wsj_1013_22|Its ratio of tangible equity to total assets as of Sept. 30 was 3.6% , and total equity was $457.9 million .
wsj_1013_23|The thrift emphasized that it has a large portfolio of equity securities issued in connection with corporate restructurings and leveraged buy-outs , which has a book value of $90 million .
wsj_1013_20|The stock 's decline accelerated in the past two weeks , from a price of $8 a share on Oct. 9 . Columbia officials said they do n 't know how quickly they will dispose of the thrift 's junk bonds , because federal regulations , such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries , have n 't yet been completed .
wsj_1013_21|Columbia officials also said the thrift should n 't face problems meeting regulatory capital requirements , despite the large reserves and write-downs and stiffer regulatory requirements that should be in place by year 's end .
wsj_1013_26|--- David B. Hilder in New York contributed to this article .
wsj_1013_24|Although many of the transactions related to those securities have n 't been completed , Columbia said the ultimate gain on the sale of those assets will range from $200 million to $300 million .
wsj_1013_25|Columbia also has unrealized gains in its public equity securities portfolio of more than $70 million .
wsj_1039_3|Amdahl 's results were somewhat worse than expected .
wsj_1039_2|Revenue rose 15% to $534.3 million from $464.7 million .
wsj_1039_1|Net income fell 37% to $32.9 million , or 30 cents a share , from $52.2 million , or 48 cents a share , in the year-ago period .
wsj_1039_0|Amdahl Corp. , a maker of mainframe computers , reported a sharp decline in net income for its third quarter , citing pricecutting by competitors and adverse effects from a strong U.S. dollar .
wsj_1039_4|Jay Stevens , an analyst with Dean Witter Reynolds , said he expected the Sunnyvale , Calif. , company to earn 35 cents a share for the quarter and said the firm 's weaker profit was partly the result of increased competition from International Business Machines Corp. , Amdahl 's principal competitor for mainframe sales .
wsj_0768_33|Fidelity 's junk fund has fallen 2.08% this year through Oct. 19 , Lipper says ; the Vanguard fund rose 1.84% ; and the T. Rowe Price fund edged up 0.66% .
wsj_0768_32|That 's even less than the 4.35% total return of the Merrill Lynch High-Yield Index .
wsj_0768_31|Through Oct. 19 , high-yield funds had an average 0.85% total return ( the price change plus dividends on fund shares ) , according to Lipper Analytical Services Inc.
wsj_0768_30|Junk-fund holders have barely broken even this year , as fat interest payments barely managed to offset declining prices .
wsj_0768_37|And then , asset values of the funds could plunge more than they have so far .
wsj_0768_36|Funds might be forced to accept lower prices if they expand their selling to the securities of less-creditworthy borrowers .
wsj_0768_35|Many funds in recent weeks and months have been selling their highest-quality junk issues , such as RJR Nabisco , to raise cash to meet expected redemptions .
wsj_0768_34|People who remain in junk funds now could get hit again , some analysts and fund specialists say .
wsj_0768_38|Says Michael Hirsch , chief investment officer of Republic National Bank and manager of the FundTrust Group in New York : ' It 's a time bomb just waiting to go off . '
wsj_0316_6|Salt Lake City-based First Security , with $5.4 billion in assets , said the agreement is subject to shareholder and regulatory approval , and that it hopes to complete the transaction early next year .
APW19980213.1310_15|` ` She is , I can assure you , from what I 've been told , she 's following the thing very closely and taking the view it 's our business .
APW19980213.1310_14|Howard said Queen Elizabeth II is taking a great interest in the convention .
APW19980213.1310_17|she is a 20th century democrat , understands that the role of the crown in Australia rests in the hands of the Australian people as it has for almost a hundred years . ' ' The model for a republic , adopted over bitter objections from those advocating direct election of a president , is for presidential nominations to be made with public input and the winning candidate decided by a two-thirds majority of Parliament .
APW19980213.1310_16|` ` It 's no secret that she 's indicated to me . . .
APW19980213.1310_11|` ` Well may we say ` God save the Queen , ' for nothing will save the republic , ' ' outraged monarchist delegate David Mitchell said .
APW19980213.1310_10|` ` The phony war has finished and the real referendum campaign has clearly begun , ' ' Australians for a Constitutional Monarchy executive director Kerry Jones said .
APW19980213.1310_13|Australia has been independent since 1901 , but like many Commonwealth nations it still recognizes the British monarch as its head of state .
APW19980213.1310_12|` ` The idea of a republic will fall to dust through the grace of almighty God . ' ' Polls have shown public support for a republic increasing , rising from about 35 percent several years ago to about 51 percent this year , as pro-monarchist sentiment diminishes .
APW19980213.1310_19|` ` This is an important step along the path towards Australia claiming its full sovereignty , and due recognition that the monarchy can no longer serve us appropriately , ' ' Keating said .
APW19980213.1310_18|Former prime minister Paul Keating , who put the republic issue in the spotlight in his unsuccessful 1996 campaign for re-election , welcomed the result .
WSJ910225-0066_66|Despite the lack of any obvious successors , the Iraqi leader 's internal power base appeared to be narrowing even before the war began .
PRI19980216.2000.0170_1|The move had been widely expected after northern Ireland police said they believe the IRA was behind two killings in Belfast last week .
PRI19980216.2000.0170_0|The British government has formally called for Sinn Fein , the IRA 's political wing , to be expelled from the multiparty peace talks on northern Ireland .
PRI19980216.2000.0170_3|We ' re going to fight it .
PRI19980216.2000.0170_2|Sinn Fein chairman Mitchell McLaughlin says the party will challenge the move by legal means if they have to .
PRI19980216.2000.0170_5|But we ' re challenging it on the ground that uh the RUC uh have offered an opinion , and this opinion is going to be used as a mechanism for ejecting us from the talks , and uh that 's a very serious .
PRI19980216.2000.0170_4|And uh we ' ve already challenged , very strongly , the uh the terms in which this has been presented .
PRI19980216.2000.0170_6|Any decision to expel Sinn Fein must be agreed jointly by the governments of both Britain and the Irish Republic .
wsj_0122_1|Under terms of the agreement , shareholders other than the Underwoods will receive $3,500 a share at closing , which is expected in December .
WSJ910225-0066_19|Gen. Walter Boomer , the top Marine in the Persian Gulf , told U.S. Marines that their goal is to ' restore { Kuwait } to its citizens . '
WSJ910225-0066_18|In a pre-attack message , Lt .
wsj_0122_0|Young 's Market Co. , a wholesaler of spirits , wines and other goods , said it will merge with a new corporation formed by the Underwood family , which controls Young 's .
WSJ910225-0066_15|The Americans say their battle plans call for operating against forces inside Iraq as far north as the city of Basra , about 30 miles north of Kuwait , but say there is n 't any plan to drive beyond that .
WSJ910225-0066_14|American officials staunchly disavow any interest in driving through Iraq toward Baghdad , either in pursuit of Saddam Hussein himself or to set up some American-controlled government inside Iraq .
WSJ910225-0066_17|Nevertheless , American officials over the weekend became more open in declaring that by destroying Saddam Hussein 's military machine they hope to destroy his regime -- a goal likely to be supported by most Americans .
WSJ910225-0066_16|Indeed , French President Francois Mitterrand said yesterday that some allied forces are crossing Iraqi territory as part of a ' pincer ' movement to trap the soldiers occupying Kuwait , but insisted , ' The purpose isn 't to invade Iraqi territory , that 's not the aim , that isn 't the mandate . '
WSJ910225-0066_11|Despite the early indications of success , the allied forces could still suffer greater casualties and become bogged down militarily , especially when they encounter the tough Republican Guard , which is entrenched along the Iraq-Kuwait border .
WSJ910225-0066_10|Now , he says , ' it looks like the West just wants to destroy Iraq . '
WSJ910225-0066_13|But , he notes , ' If everything crumbles totally , that won 't be such a problem . '
WSJ910225-0066_12|If so , and if it appears that the American goal actually is to destroy the Iraqi regime even at the cost of badly hurting Iraqi society , ' the lingering cost of that could be high , ' worries former national security adviser Zbigniew Brzezinski .
wsj_0904_1|The computer maker said net jumped to $87 million , or $2.02 a share , from $58 million , or $1.40 a share , a year earlier .
wsj_0122_2|The Underwood family said that holders of more than a majority of the stock of the company have approved the transaction by written consent .
AP900816-0139_39|John Prescott , a shipping correspondent , said there was no shipping in Kuwaiti or Iraqi ports and that activity was trailing off in the Jordanian port of Aqaba .
wsj_0904_0|Compaq Computer Corp. said that its net income rose 51% in the third quarter , bolstered by unusual gains from its investment in a disk-drive maker and reflecting continued growth in its European operations .
AP900816-0139_37|The economic chokehold appears to be working .
AP900816-0139_36|Only Saudi Arabia has more oil reserves .
AP900816-0139_35|Iraq now controls 20 percent of the world 's oil reserves with its conquest of Kuwait .
AP900816-0139_34|The quarantine hopes to staunch the flow of Iraqi oil , which is Iraq 's economic lifeblood , and clamp down on food and supplies going in .
AP900816-0139_33|The combined operations are designed to isolate and strangle Iraq until it retreats from Kuwait .
wsj_0904_3|The latest quarter 's results , however , included a pretax gain of $13.7 million , or 20 cents a share , in the carrying value of the company 's investment in Conner Peripherals Inc. and a $7.6 million gain , or 11 cents a share , from the sale of one million Conner shares .
AP900816-0139_31|He declined to say if the weapons included missiles , but the Iraqis have them in their arsenal .
AP900816-0139_30|In Kuwait , the Iraqis have rimmed the capital city with an air-defense system , according to a U.S. official who spoke on the condition of anonymity .
wsj_0904_2|Sales increased 36% to $683 million from $502 million .
wsj_0584_33|But Kenneth Leon , a telecommunications analyst with Bear , Stearns amp Co. , finds the BellSouth proposal still flawed because the company does n 't have to wait five years to begin buying more LIN shares .
wsj_0584_32|We did n 't think a sleeping { Bell } mentality would be willing to take on dilution . '
PRI19980115.2000.0186_8|That means the convictions stand , a ruling likely to send Keating 's lawyers back to state court where they must start over with a new appeal .
PRI19980115.2000.0186_9|Elaine Corey , NPR news , San Francisco .
wsj_0904_7|Michael Swavely , president of Compaq 's North America division , attributed the company 's third-quarter performance to continued increases in international sales , which accounted for 43% of the company 's sales , a 74% increase from a year earlier .
PRI19980115.2000.0186_2|NPR 's Elaine Corey has more from San Francisco .
PRI19980115.2000.0186_3|In nineteen ninety-one Charles Keating was convicted in state court of helping to defraud thousands of investors who bought high risk junk bonds sold by Keating 's employees at Lincoln savings and loan .
PRI19980115.2000.0186_0|Former savings and loan chief , Charles Keating , is facing more legal troubles in California .
PRI19980115.2000.0186_1|A federal appeals court has reinstated his state convictions for securities fraud .
PRI19980115.2000.0186_6|And on that basis Keating was released from prison before he was eligible for parole .
PRI19980115.2000.0186_7|Now the ninth US circuit court of appeals has ruled that the original appeal was flawed since it brought up issues that had not been raised before .
PRI19980115.2000.0186_4|The bonds became worthless when the bankrupt thrift was seized by government regulators .
PRI19980115.2000.0186_5|Keating 's convictions were thrown out in nineteen ninety-six on a technicality .
ABC19980114.1830.0611_3|There was no hint of trouble in the last conversation between controllers and TWA pilot Steven Snyder TWA eight hundred climb maintain one five thousand .
wsj_0325_4|The restructuring program is designed to increase the company 's tangible capital ratio .
wsj_0325_5|It includes removing $242 million in good will from the books , issuing $150 million in preferred stock and commencing an exchange offer for $52 million in convertible bonds .
wsj_0325_6|During the third quarter , the company charged about $46 million against earnings in reducing goodwill , added $20 million to its general loan loss reserves and established a $30 million reserve for its high-yield bond portfolio .
wsj_0325_7|The company said its junk-bond portfolio after these moves had been reduced to less than 1% of assets .
wsj_0325_0|Coast Savings Financial Inc. reported a third-quarter loss , citing a previously announced capital restructuring program .
wsj_0325_1|The Los Angeles thrift holding company said it had a loss of $92.2 million , or $6.98 a share , for the quarter ended Sept. 30 .
wsj_0325_2|Coast earned $10.2 million , or 67 cents a share , in the year-ago quarter .
wsj_0325_3|The year-ago results have been restated to comply with government regulations .
wsj_0950_24|The company has said it wants to boost non-GM revenue to at least 50% of its total business by the end of 1990 .
wsj_0950_21|In the nine months , EDS earned $315.8 million , or $2.62 a share , up 13% from $280.7 million , or $2.30 a share .
wsj_0950_20|Revenue rose 12% to $1.37 billion from $1.22 billion .
wsj_0950_23|Revenue from non-GM accounts was 45% of EDS 's total business in the latest nine months , compared with 40% a year earlier .
wsj_0950_22|Revenue rose 14% to $4.03 billion from $3.54 billion .
wsj_0760_11|Norton had operating profit of $76.8 million , or $3.66 a share , up 11% from $69.5 million , or $3.31 a share .
wsj_0760_10|In the year-earlier period , the company had net of $77.2 million , or $3.68 a share , and a tax credit of $7.7 million .
wsj_0760_12|Sales rose 8% to $1.15 billion from $1.06 billion .
wsj_0928_12|While this indicates continued strong demand for the company 's desk-top computers , Sun faces increasing competition from Digital Equipment Corp. and Hewlett-Packard Co. Recently , analysts have said Sun also is vulnerable to competition from International Business Machines Corp. , which plans to introduce a group of workstations early next year , and Next Inc.
wsj_0928_11|Sun also reported a record backlog of orders .
wsj_0928_10|Mr. McNealy said the issues that hurt Sun 's performance earlier this year are now ' largely ' behind the firm , and he indicated that Sun 's profitability should increase throughout the fiscal year .
wsj_0321_0|StatesWest Airlines , Phoenix , Ariz. , said it withdrew its offer to acquire Mesa Airlines because the Farmington , N.M. , carrier did n 't respond to its offer by the close of business yesterday , a deadline StatesWest had set for a response .
wsj_0321_1|However , StatesWest is n 't abandoning its pursuit of the much-larger Mesa .
wsj_0321_2|StatesWest , which has a 7.25% stake in Mesa , said it may purchase more Mesa stock or make a tender offer directly to Mesa shareholders .
wsj_0321_3|StatesWest had proposed acquiring Mesa for $7 a share and one share of a new series of StatesWest 6% convertible preferred stock it values at $3 a share .
wsj_0321_4|Earlier , Mesa had rejected a general proposal from StatesWest to combine the two carriers in some way .
wsj_0321_5|StatesWest serves 10 cities in California , Arizona and Nevada .
wsj_0321_6|Mesa flies to 42 cities in New Mexico , Arizona , Wyoming , Colorado and Texas .
PRI19980205.2000.1998_8|Caroline Wyatt , BBC news , Bonn .
PRI19980205.2000.1998_4|Joblessness is now at its highest level in Germany since the second world war .
PRI19980205.2000.1998_5|With the general election due this September , record figures could n 't have come at a worst time for Chancellor Kohl .
PRI19980205.2000.1998_6|His promise to half unemployment by the year two thousand has now been abandoned .
PRI19980205.2000.1998_7|And the German electorate appears increasingly eager to dispense with the services of Europe 's longest serving leader .
PRI19980205.2000.1998_0|Thousands of people in Germany have been demonstrating today against the high level of unemployment in the country .
PRI19980205.2000.1998_1|Latest figures show a sharp rise , with nearly five million Germans out of work .
PRI19980205.2000.1998_2|Caroline Wyatt reports .
PRI19980205.2000.1998_3|Chanting Helmut Kohl must go the unemployed took to the streets of the German capital , Berlin , mirroring protests around the country .
wsj_1008_3|Lawrence Insurance underwrites mostly primary insurance , a company spokesman said .
wsj_1008_2|By acquiring the shares , Lawrence Group increased its stake in Lawrence Insurance to 93.2% from 91.2% .
wsj_1008_1|Lawrence Insurance also sold 3.2 million of its shares for $7.125 each to its parent , Lawrence Group Inc. Lawrence Insurance , based in Albany , N.Y. , plans to use the $22.5 million in proceeds to help finance the acquisition of United Republic .
wsj_1008_0|Lawrence Insurance Group Inc. said it acquired United Republic Reinsurance Co. , a Houston property and casualty reinsurance company , from United Savings Association of Texas for $28 million .
wsj_1008_5|Lawrence Group also owns Lawrence Agency Corp. , Schenectady , N.Y. , an insurance agency and brokerage .
wsj_1008_4|A reinsurance company effectively insures insurance companies that wish to spread the risk of a particular policy .
wsj_0584_35|he asked .
wsj_0675_14|--- Unisys posted a $648.2 million loss for the third quarter as it moved quickly to take write-offs for various problems and prepare for a turnaround .
wsj_0675_15|But some analysts wonder how strong the recovery will be .
wsj_0675_16|--- RJR Nabisco agreed to sell three candy businesses to Nestle for $370 million .
wsj_0675_17|The accord helps RJR pay off debt and boosts Nestle 's 7% share of the U.S. candy market to 12% .
wsj_0675_10|--- Southern 's Gulf Power unit may plead guilty this week to charges it illegally steered company money to politicians through third parties .
wsj_0675_11|The tentative pact would resolve part of a broad investigation of the Atlanta-based company in the past year .
wsj_0675_12|--- LIN Broadcasting and BellSouth sweetened their plan to merge cellular phone operations , offering LIN holders a special $42-a-share payout .
wsj_0675_13|But the new pact will force huge debt on the new firm and could still fail to thwart rival suitor McCaw Cellular .
wsj_0675_18|---GM and Ford are expected to go head to head in the markets to buy up rival 15% stakes in Jaguar .
wsj_0675_19|GM confirmed it received U.S. antitrust clearance to boost its holding .
wsj_0551_2|The transaction is expected to close around year end .
wsj_0551_1|Society Corp. , which is also a bank , agreed in June to buy Trustcorp for 12.4 million shares of stock with a market value of about $450 million .
wsj_0551_0|Trustcorp Inc. will become Society Bank amp Trust when its merger is completed with Society Corp. of Cleveland , the bank said .
wsj_0555_3|Waxman sells a variety of hardware products for the home repair market .
wsj_0555_2|The company said the holders represent 52% of the face amount of the debentures .
wsj_0555_1|The conversion price is $9.58 a share .
wsj_0555_0|Waxman Industries Inc. said holders of $6,542,000 face amount of its 6 1/4% convertible subordinated debentures , due March 15 , 2007 , have elected to convert the debt into about 683,000 common shares .
wsj_0557_9|Since KKR bought RJR in February for $25 billion of debt , it has agreed to sell nearly $5 billion of RJR assets .
wsj_0557_8|Louis Gerstner Jr. , chairman and chief executive officer of New York-based RJR , called the sale a ' significant step ' in the company 's divestiture program , as well as a ' a strategic divestiture . '
wsj_0557_5|Roughly $2 billion of that debt has already been repaid from previous asset sales , and RJR expects to use another $2 billion from the pending , two-part sale of most of its Del Monte unit .
wsj_0557_4|The sale , which had been expected , is part of KKR 's program to pay down $5 billion of a $6 billion bridge loan by February .
wsj_0557_7|Thus , it remains crucial for RJR to obtain top dollar for its smaller assets like the candy brands .
wsj_0557_6|That sale , however , could still fall through if financing problems develop .
wsj_0557_1|The sale , at a higher price than some analysts had expected , helps the food and tobacco giant raise funds to pay debt and boosts Nestle 's 7% share of the U.S. candy market to about 12% .
wsj_0557_0|RJR Nabisco Inc. said it agreed to sell its Baby Ruth , Butterfinger and Pearson candy businesses to Nestle S.A. 's Nestle Foods unit for $370 million .
wsj_0557_3|The Nestle acquisition includes a candy plant in Franklin Park , Ill. , which employs about 800 workers .
wsj_0557_2|The candy businesses had sales of about $154 million last year , which was roughly 12% of total revenue for RJR 's Planters LifeSavers unit , according to a memorandum distributed by RJR 's owner , Kohlberg Kravis Roberts amp Co. , to bankers last December .
wsj_0713_4|In addition , the bank has an option to buy a 30.84% stake in BIP from Societe Generale after Jan. 1 , 1990 at 1,015 francs a share .
wsj_0713_3|Dresdner Bank said it will also buy all shares tendered by shareholders on the Paris Stock Exchange at the same price from today through Nov. 17 .
wsj_0713_2|In a first step , Dresdner Bank will buy 32.99% of BIP for 1,015 French francs ( $162 ) a share , or 528 million francs ( $84.7 million ) .
wsj_0713_1|The approval , which had been expected , permits West Germany 's second-largest bank to acquire shares of the French investment bank .
wsj_0713_0|West German and French authorities have cleared Dresdner Bank AG 's takeover of a majority stake in Banque Internationale de Placement ( BIP ) , Dresdner Bank said .
NYT19980212.0019_0|NEW YORK _ A Brooklyn woman who was watching her clothes dry in a laundromat was killed Thursday evening when two would-be robbers emptied their pistols into the store , the police said .
NYT19980212.0019_1|The men appeared in the store at 469 Vermont St. in Brownsville around 7:15 p.m. , after the victim , Linda Sanders , 35 , had finished her cleaning and was waiting for her clothes to dry , detectives said .
PRI19980306.2000.1675_6|By mid afternoon , official Serb sources were saying the operation was over , but that has not yet been confirmed from Belgrade , the capital of Serbia , which is where the whole attack is thought to have been planned .
PRI19980306.2000.1675_7|The ethnic Albanians here in Kosovo are considerably worried about the future and fear they are witnessing the beginnings of a much wider conflict .
wsj_0768_22|The fund , with a cash cushion of more than 10% , has ' met all the redemptions without having to sell one thing , ' Mr. Litvack says .
PRI19980306.2000.1675_5|They were too afraid to stay , fearing the forces may also move their operations further afield .
PRI19980306.2000.1675_2|It 's the second day of an offensive by the security forces against villages populated by ethnic Albanians .
wsj_0768_25|Still , two-thirds of the outflow has been steered into other Vanguard portfolios , says Brian Mattes , a vice president .
PRI19980306.2000.1675_0|For The World , this is Pamela McCall in the BBC news room in London .
PRI19980306.2000.1675_1|More heavy gunfire in the Serbian province of Kosovo .
